nbLignes	1468
940675	303475	19.4898
938200	303500	17.7207
938225	303500	21.0031
938275	303500	26.643
938400	303500	29.8509
938425	303500	28.4911
938475	303500	24.9911
938550	303500	19.1744
938825	303500	15.0158
939025	303500	17.2208
939125	303500	13.9683
939825	303500	8.5128
940000	303500	4.91054
940325	303500	7.86359
940600	303500	14.051
942325	303500	19.3548
938350	303525	32.1212
938450	303525	27.2834
938475	303525	25.004
938525	303525	20.6517
938900	303525	19.2019
939425	303525	6.67814
939575	303525	9.28751
939725	303525	9.02192
939925	303525	6.23158
940175	303525	5.87457
940275	303525	7.45091
940300	303525	7.90051
940700	303525	16.4621
941375	303525	24.273
939175	303550	14.0089
939375	303550	5.96029
940250	303550	7.34662
940400	303550	8.91543
941475	303550	22.3184
937825	303575	17.7564
938300	303575	33.2933
938775	303575	12.7182
939025	303575	21.3631
939150	303575	15.66
939500	303575	5.84718
939700	303575	7.49517
940175	303575	6.44497
940300	303575	8.41825
940675	303575	12.8419
935525	303600	24.0188
938350	303600	42.1952
938475	303600	21.6076
938500	303600	19.0736
938850	303600	19.6835
939025	303600	22.181
939675	303600	6.63143
940125	303600	6.12845
940275	303600	8.15367
938225	303625	38.4812
938375	303625	43.249
938450	303625	24.9708
938800	303625	15.1219
938925	303625	23.4235
940125	303625	6.67272
940300	303625	8.71873
940350	303625	9.23974
940450	303625	9.60153
937800	303650	23.0298
938800	303650	14.3866
938825	303650	16.6103
939000	303650	22.8899
940525	303650	6.56849
941750	303650	19.7614
942225	303650	18.5035
938825	303675	15.7896
939425	303675	5.18452
939550	303675	6.83032
939750	303675	4.52865
940225	303675	8.55998
940275	303675	9.15805
940750	303675	9.06306
937700	303700	25.7277
938275	303700	49.5694
938350	303700	51.3084
938750	303700	5.68789
939125	303700	16.3009
939175	303700	12.8563
939500	303700	6.97109
939550	303700	7.53865
939750	303700	4.32805
940200	303700	8.92707
939100	303725	19.9043
939200	303725	12.4168
939750	303725	7.96732
940400	303725	5.10162
937775	303750	26.5562
937875	303750	26.6149
938975	303750	34.1741
939000	303750	31.6815
939050	303750	26.2761
939075	303750	23.7647
939475	303750	7.85952
939725	303750	9.2967
940275	303750	5.97976
938550	303775	26.6563
938925	303775	43.6744
938950	303775	42.634
938325	303800	32.6943
939300	303800	9.57899
939400	303800	6.6333
939550	303800	9.65848
938600	303825	22.3937
939025	303825	31.1013
939075	303825	25.6641
939400	303825	6.30741
939600	303825	10.4348
940350	303825	4.86
940750	303825	5.45399
939175	303850	17.1215
940375	303850	3.69065
939400	303875	7.22142
939950	303875	4.44109
939975	303875	4.2123
940775	303875	3.69506
938650	303900	18.1331
939300	303900	11.2251
938100	303925	28.0081
938750	303925	26.7125
939725	303925	12.4193
940425	303925	7.15283
938150	303950	26.5943
938825	303950	30.0189
938875	303950	30.4312
939000	303950	25.0299
939350	303950	9.62464
938425	303975	24.6211
939250	303975	12.6913
939300	303975	11.28
939375	303975	9.77096
937775	304000	17.6049
937975	304000	22.2695
938200	304000	22.1379
938525	304000	22.7518
938700	304000	22.866
938750	304000	25.3375
939200	304000	13.5471
939325	304000	10.3061
939525	304000	9.96498
939850	304000	8.36304
940500	304000	9.5261
938300	304025	19.0046
938525	304025	21.9754
938900	304025	25.8985
938925	304025	25.2178
938950	304025	24.2494
939425	304025	10.4434
937950	304050	20.3126
938700	304050	21.4209
939175	304050	12.9426
939450	304050	10.6744
939875	304050	9.28266
943400	304050	44.6913
937425	304075	24.366
938125	304075	19.8828
938400	304075	20.0881
938525	304075	20.4054
939025	304075	16.8163
939250	304075	11.3714
939425	304075	11.0227
940025	304075	8.9374
938775	304100	20.4508
938800	304100	20.6089
938825	304100	20.6364
938975	304100	17.4295
939000	304100	16.3271
939325	304100	10.8071
939425	304100	11.1013
937750	304125	17.9975
938075	304125	18.4903
938725	304125	18.3647
939000	304125	14.5048
939275	304125	10.9021
939775	304125	10.7469
938100	304150	16.8662
938850	304150	16.5252
938975	304150	13.6061
939350	304150	11.3253
938300	304175	17.1284
938525	304175	16.8795
938800	304175	15.132
938825	304175	14.9907
938900	304175	13.7532
939250	304175	11.277
938425	304200	17.6951
938450	304200	17.3994
938775	304200	13.6048
939125	304200	11.3181
939175	304200	11.3486
939675	304200	12.1839
939825	304200	11.8094
937225	304250	19.3206
937600	304250	11.4907
938750	304250	12.7373
938800	304250	12.3811
939150	304250	11.4614
939725	304250	11.9035
940200	304250	11.2304
937225	304275	17.7863
939650	304275	11.3814
939975	304275	12.6072
936975	304300	22.1659
938275	304300	21.6789
938850	304300	10.9377
939050	304300	11.108
939675	304300	11.9614
937275	304325	16.4564
937500	304325	11.7032
937725	304325	10.7884
939025	304325	10.6694
939250	304325	11.3745
939600	304325	11.6684
940125	304325	12.8006
940150	304325	12.673
941750	304325	9.82436
937250	304350	16.7833
937950	304350	16.8136
939550	304375	11.2399
939675	304375	12.4944
940000	304375	13.6173
938000	304400	19.1657
938725	304400	15.6537
